# mN [MeV]	|U_muN|^2 (3)	|U_muN|^2 (50)	|U_eN|^2 (3)	|U_eN|^2 (50)
74.22	8.39662e-08	3.42791e-07	7.55104e-09	3.0827e-08
74.48	8.43512e-08	3.44362e-07	7.46194e-09	3.04632e-08
74.74	8.47531e-08	3.46003e-07	7.37417e-09	3.01049e-08
75	8.51724e-08	3.47715e-07	7.28772e-09	2.9752e-08
75.26	8.56094e-08	3.49499e-07	7.20256e-09	2.94043e-08
75.52	8.60646e-08	3.51357e-07	7.11868e-09	2.90619e-08
75.78	8.65385e-08	3.53292e-07	7.03604e-09	2.87245e-08
76.04	8.70315e-08	3.55305e-07	6.95464e-09	2.83922e-08
76.3	8.75442e-08	3.57398e-07	6.87444e-09	2.80648e-08
76.56	8.8077e-08	3.59573e-07	6.79544e-09	2.77423e-08
76.82	8.86307e-08	3.61833e-07	6.71761e-09	2.74245e-08
77.08	8.92056e-08	3.6418e-07	6.64093e-09	2.71115e-08
77.34	8.98025e-08	3.66617e-07	6.56538e-09	2.68031e-08
77.6	9.0422e-08	3.69146e-07	6.49095e-09	2.64992e-08
77.86	9.10647e-08	3.7177e-07	6.41762e-09	2.61998e-08
78.12	9.17314e-08	3.74492e-07	6.34537e-09	2.59049e-08
78.38	9.24229e-08	3.77315e-07	6.27418e-09	2.56142e-08
78.64	9.31398e-08	3.80242e-07	6.20404e-09	2.53279e-08
78.9	9.38831e-08	3.83276e-07	6.13492e-09	2.50457e-08
79.16	9.46535e-08	3.86421e-07	6.06682e-09	2.47677e-08
79.42	9.5452e-08	3.89681e-07	5.99971e-09	2.44937e-08
79.68	9.62796e-08	3.9306e-07	5.93358e-09	2.42237e-08
79.94	9.71372e-08	3.96561e-07	5.86842e-09	2.39577e-08
80.2	9.80258e-08	4.00189e-07	5.8042e-09	2.36956e-08
80.46	9.89467e-08	4.03948e-07	5.74092e-09	2.34372e-08
80.72	9.99009e-08	4.07844e-07	5.67856e-09	2.31826e-08
80.98	1.0089e-07	4.1188e-07	5.6171e-09	2.29317e-08
81.24	1.01914e-07	4.16063e-07	5.55654e-09	2.26845e-08
81.5	1.02976e-07	4.20398e-07	5.49684e-09	2.24408e-08
81.76	1.04077e-07	4.24891e-07	5.43802e-09	2.22006e-08
82.02	1.05217e-07	4.29548e-07	5.38004e-09	2.19639e-08
82.28	1.064e-07	4.34376e-07	5.32289e-09	2.17306e-08
82.54	1.07626e-07	4.3938e-07	5.26657e-09	2.15007e-08
82.8	1.08897e-07	4.4457e-07	5.21106e-09	2.1274e-08
83.06	1.10215e-07	4.49951e-07	5.15634e-09	2.10507e-08
