# mN [MeV]	|U_muN|^2 (15MeV)	|U_muN|^2 (10MeV)	|U_eN|^2 (15MeV)	|U_eN|^2 (10MeV)
75	2.042234947361913e-6	3.375118727726088e-6	3.416648553850149e-7	1.375333240282629e-6
75.65	2.115157727103659e-6	3.4952876936547687e-6	3.566831022704925e-7	1.444462530622504e-6
76.3	2.1845796281962952e-6	3.612049834390585e-6	3.677469238400807e-7	1.5058480863982298e-6
76.95	2.261651210396836e-6	3.727955043636171e-6	3.844570878995607e-7	1.566272206843454e-6
77.6	2.3360683950544703e-6	3.874375374241158e-6	3.978795611440861e-7	1.6287028010218988e-6
78.25	2.4270389880111764e-6	4.014337367517341e-6	4.1522719862922477e-7	1.6906944790712018e-6
78.9	2.5231302691412068e-6	4.182787107651649e-6	4.3391562038505223e-7	1.7472937589624736e-6
79.55	2.614069510945832e-6	4.3290193313441456e-6	4.5334497436840756e-7	1.8135700944629251e-6
80.2	2.7049774015983746e-6	4.4743632723943324e-6	4.808190339758954e-7	1.8911955470169072e-6
80.85	2.8437166999433754e-6	4.706121438965368e-6	5.080422843667304e-7	1.9559356760653617e-6
81.5	2.9540936560385774e-6	4.886014349609453e-6	5.309171299638509e-7	2.031199341829198e-6
82.15	3.1033982926350693e-6	5.174821162584929e-6	5.629026203558775e-7	2.1272906229592284e-6
82.8	3.2519923031177123e-6	5.425045157732014e-6	5.911113419604768e-7	2.2327036466415145e-6
83.45	3.403888634952948e-6	5.649446253947908e-6	6.268401599110436e-7	2.3414189916763923e-6
84.1	3.571554596285216e-6	5.971871952338863e-6	6.666049161729119e-7	2.4429862740366716e-6
84.75	3.758804577284442e-6	6.295175482988101e-6	7.196312097652866e-7	2.5729158986467493e-6
85.4	3.969014051991409e-6	6.649955570327242e-6	7.707753891943643e-7	2.7183016412330444e-6
86.05	4.202590585383178e-6	7.0559007378635155e-6	8.275209744620167e-7	2.8767503638533295e-6
86.7	4.4627946972762306e-6	7.47263070171585e-6	9.135474907354585e-7	3.0427129125891656e-6
87.35	4.7710183237742315e-6	7.962419300302284e-6	9.815533647924104e-7	3.2505919516580688e-6
88	5.066241672542405e-6	8.513478500440146e-6	1.0976038343759747e-6	3.4763515977974967e-6
88.65	5.41553530826727e-6	9.174726549760719e-6	1.17410064545502e-6	3.6755463677398036e-6
89.3	5.80854290037788e-6	9.799419155754173e-6	1.3430311032545787e-6	3.9934261490789295e-6
89.95	6.207768470984668e-6	0.000010547572598644876	1.500852802833232e-6	4.291314345774037e-6
90.6	6.753100860675627e-6	0.000011431361575824502	1.6420688421926775e-6	4.673620744640802e-6
91.25	7.3096360620437366e-6	0.000012488940439376331	1.8619344717407696e-6	5.043564339203398e-6
91.9	7.973214547002373e-6	0.000013668579788365764	2.1198603999158953e-6	5.502524304909616e-6
92.55	8.675543055933839e-6	0.00001491813220649711	2.6351374851446507e-6	6.073710944683849e-6
93.2	9.597246026364118e-6	0.000016591134185410275	2.9428176916732374e-6	6.70069218477926e-6
93.85	0.00001061476856793972	0.000018498642781893628	3.5239948985774655e-6	7.464374898334368e-6
94.5	0.000011826595099732903	0.000020850188195692373	4.206290021328804e-6	8.321891610069633e-6
95.15	0.000013201761133871097	0.000023322226537324636	5.190684845538207e-6	9.529266278267234e-6
95.8	0.000014972369699598236	0.00002664618018485359	6.059864185847819e-6	0.000010785945858305125
96.45	0.000017107905675554918	0.000030604054127472016	7.151051484431098e-6	0.00001260525321359898
97.1	0.00001974777718466389	0.00003582255789529061	8.23180929975524e-6	0.00001449572768411801
97.75	0.00002309587121929566	0.00004202277073862362	9.628670331133883e-6	0.000017231115703235514
98.4	0.000027323365069815635	0.000050041663914208844	0.000011383498816979964	0.000020634492269371126
99.05	0.0000328583064659776	0.00006056593215647308	0.00001375981164092315	0.0000249673259908852
99.7	0.00004017409780421335	0.00007452064345950337	0.000016769626744594714	0.0000307183813287295
100.35	0.000050474936835976225	0.00009382762344590029	0.000021182510407757077	0.00003866474883916601
101	0.00006536464399791937	0.0001228745703533207	0.000027373944928507243	0.00005082283012024144
101.65	0.00008821639424633982	0.00016565426240703382	0.000036998644113710794	0.00006904506024461584
102.3	0.00012483610743522464	0.00023684750359227928	0.00005259218463988532	0.00009901132743490833
102.95	0.00019186696066243953	0.0003657132791083891	0.00008051038556852872	0.00015205831278765708
103.6	0.0003307880956895135	0.0006302051835677993	0.00013968714817626717	0.00026605528190987816
104.25	0.0007040988039856712	0.0013506389828263745	0.00029831352732501436	0.0005707341381458553
104.9	0.002448942992932171	0.004752573395966237	0.0010194495923902167	0.001978226345195362
105.55	0.11911138706512886	0.2303902113018773	0.05025579228292601	0.09659519864782155
